Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
71.4057	10	0	33	13	731428	6	0	
71.4097	5	0	33	12	1447902	4	0	
71.4137	2	0	33	12	1338081	2	0	
71.4176	11	0	33	11	1150226	4	0	
71.4218	3	0	33	12	1096584	2	0	
71.4298	9	0	33	10	858642	6	0	
73.3167	7	0	33	11	1024665	6	0	
73.3979	4	0	34	10	350837	2	0	
73.4018	6	0	34	11	627770	4	0	
73.4057	10	0	34	11	916304	4	0	
73.4097	5	0	34	13	821939	2	0	
73.4137	2	0	34	13	1006800	4	0	
73.4176	11	0	34	12	1312752	4	0	
73.4218	3	0	34	12	456661	4	0	
73.4298	9	0	34	11	1136957	6	0	
75.3167	7	0	34	11	1336406	6	0	
75.3979	4	0	35	8	396387	2	0	
75.4018	6	0	35	10	1000144	4	0	
75.4057	10	0	35	11	1148550	4	0	
75.4097	5	0	35	12	774705	0	0	
75.4137	2	0	35	12	1198531	4	0	
75.4176	11	0	35	13	1503119	4	0	
75.4218	3	0	35	10	860555	2	0	
75.4298	9	0	35	12	854711	6	0	
77.3167	7	0	35	12	889096	6	0	
77.3979	4	0	36	8	332108	4	0	
77.4018	6	0	36	11	956893	4	0	
77.4057	10	0	36	12	879377	4	0	
77.4097	5	0	36	11	331782	0	0	
77.4137	2	0	36	12	1446860	4	0	
77.4176	11	0	36	14	1071049	4	0	
77.4218	3	0	36	11	1147714	2	0	
77.4298	9	0	36	11	977656	6	0	
79.3167	7	0	36	12	1169265	6	0	
79.3979	4	0	37	7	554226	4	0	
79.4018	6	0	37	11	541166	4	0	
79.4057	10	0	37	11	472568	6	0	
79.4097	5	0	37	9	706644	2	0	
79.4137	2	0	37	13	1773160	4	0	
79.4176	11	0	37	12	1351569	4	0	
79.4218	3	0	37	12	633827	0	0	
79.4298	9	0	37	11	1210253	6	0	
